Movie_ID,Title,Year,Genre,Language,Director,Lead_Actor,Lead_Actress,ratings ,Duration (mins),Budget (Crores),Box_Office (Crores),OTT_Platform,Release_Type,Country,Awards,Status
MOV032,Premalu,2024,Romance / Comedy,Malayalam,Girish AD,Naslen,Mamitha Baiju,8.5,142,4,6500,SonyLIV,Theatrical,India,None,Blockbuster
MOV033,Aavesham,2024,Action / Comedy,Malayalam,Jithu Madhavan,Fahadh Faasil,N/A,8.5,152,20,10000,Netflix,Theatrical,India,None,Blockbuster
MOV034,The Great Indian Kitchen,2021,Drama,Malayalam,Jeo Baby,Nimisha Sajayan,Nimisha Sajayan,8.6,100,1,N/A,Amazon Prime,OTT Direct,India,Kerala State Award,Critically Acclaimed
MOV035,Maharaja,2024,Action / Thriller,Tamil,Nithilan Swaminathan,Vijay Sethupathi,Anurag Kashyap,8.7,155,50,3500,Netflix,Theatrical,India,None,Hit
MOV036,Raayan,2024,Action / Drama,Tamil,Dhanush,Dhanush,Dushara Vijayan,7.8,150,100,3200,Amazon Prime,Theatrical,India,None,Hit
MOV037,Amaran,2024,Biography / War,Tamil,Rajkumar Periasamy,Sivakarthikeyan,Sai Pallavi,8.9,167,150,10000,Netflix,Theatrical,India,None,Blockbuster
MOV038,Vettaiyan,2024,Action / Drama,Tamil,T.J. Gnanavel,Rajinikanth,Manju Warrier,6.5,170,200,4000,Netflix,Theatrical,India,None,Average
MOV039,Lucky Baskhar,2024,Crime / Thriller,Telugu,Venky Atluri,Dulquer Salmaan,Meenakshi Chaudhary,8.5,157,60,5000,Amazon Prime,Theatrical,India,None,Hit
MOV040,Devara,2024,Action / Drama,Telugu,Koratala Siva,Jr. NTR,Janhvi Kapoor,6.3,166,350,4500,Netflix,Theatrical,India,None,Average
MOV041,The Substance,2024,Body Horror / Drama,English,Coralie Fargeat,Demi Moore,Margaret Qualley,7.5,141,800,3500,MUBI,Theatrical,France/USA,Cannes Award,Critically Acclaimed
MOV042,Conclave,2024,Thriller / Drama,English,Edward Berger,Ralph Fiennes,Isabella Rossellini,7.4,120,1600,5700,Amazon Prime,Theatrical,USA,None,Hit
MOV043,Emilia Perez,2024,Musical / Crime,Spanish,Jacques Audiard,Zoe Saldana,Karla Sofia Gascon,6.8,132,700,2000,Netflix,OTT Direct,France,4 Oscars nominated,Critically Acclaimed
MOV044,Wicked,2024,Musical / Fantasy,English,Jon M. Chu,Jonathan Bailey,Cynthia Erivo,7.8,160,3000,7400,Peacock,Theatrical,USA,None,Hit
MOV045,Moana 2,2024,Animation / Adventure,English,Dave Derrick Jr.,N/A,Auli'i Cravalho,7,100,2000,12000,Disney+Hotstar,Theatrical,USA,None,Hit
MOV046,Gladiator II,2024,Action / Historical,English,Ridley Scott,Paul Mescal,Connie Nielsen,6.7,148,3000,4700,Paramount+,Theatrical,USA,None,Average
MOV047,A Quiet Place Day One,2024,Horror / Sci-Fi,English,Michael Sarnoski,Joseph Quinn,Lupita Nyong'o,7,99,1200,3800,Paramount+,Theatrical,USA,None,Hit
MOV048,Twisters,2024,Action / Disaster,English,Lee Isaac Chung,Glen Powell,Daisy Edgar-Jones,7.2,122,1400,5000,Peacock,Theatrical,USA,None,Hit
MOV049,Furiosa,2024,Action / Sci-Fi,English,George Miller,Chris Hemsworth,Anya Taylor-Joy,7.7,148,3000,4500,Max,Theatrical,USA,None,Average
MOV050,Kingdom of the Planet of the Apes,2024,Sci-Fi / Action,English,Wes Ball,Kevin Durand,Freya Allan,6.8,145,1600,4800,Disney+Hotstar,Theatrical,USA,None,Hit
MOV051,Hit Man,2024,Crime / Comedy,English,Richard Linklater,Glen Powell,Adria Arjona,7.4,115,600,2000,Netflix,OTT Direct,USA,None,Hit
MOV052,Rebel Ridge,2024,Action / Thriller,English,Jeremy Saulnier,Aaron Pierre,N/A,7.3,130,500,N/A,Netflix,OTT Direct,USA,None,Hit
MOV053,I Saw the TV Glow,2024,Horror / Drama,English,Jane Schoenbrun,Justice Smith,Brigette Lundy-Paine,6.5,100,400,300,A24,Theatrical,USA,None,Critically Acclaimed
MOV054,Longlegs,2024,Horror / Thriller,English,Osgood Perkins,Nicolas Cage,Maika Monroe,5.8,101,700,2800,Shudder,Theatrical,USA,None,Average
MOV055,Trap,2024,Thriller / Horror,English,M. Night Shyamalan,Josh Hartnett,Ariel Donaher,6.3,105,900,3800,Max,Theatrical,USA,None,Average
MOV056,Maharaj,2024,Biography / Drama,Hindi,Siddharth P. Malhotra,Junaid Khan,Jaideep Ahlawat,7.5,131,80,N/A,Netflix,OTT Direct,India,None,Hit
MOV057,Do Patti,2024,Thriller / Mystery,Hindi,Shashanka Chaudhuri,Kriti Sanon,Kajol,6.6,126,50,N/A,Netflix,OTT Direct,India,None,Average
MOV058,Stree 2,2024,Horror / Comedy,Hindi,Amar Kaushik,Rajkummar Rao,Shraddha Kapoor,7.2,135,100,6200,Amazon Prime,Theatrical,India,None,Blockbuster
